Ngay,KL_Mua,KL_%Mua,KL_Ban,KL_%Ban,Mua-Ban,GT_Mua,GT_%Mua,GT_Ban,GT_%Ban,Mua-Ban
28/02/2023,37.373.922,"10,33%",41.568.807,"11,49%",-4.194.885,910.625.910,"14,05%",911.073.970,"14,06%",-448.060
27/02/2023,43.416.396,"8,42%",77.797.466,"15,09%",-34.381.070,871.173.370,"9,34%",1.530.323.500,"16,40%",-659.150.130
24/02/2023,40.764.983,"10,08%",50.289.589,"12,43%",-9.524.606,914.536.260,"13,97%",1.132.843.520,"17,30%",-218.307.260
23/02/2023,50.500.999,"7,93%",87.820.092,"13,79%",-37.319.093,1.852.691.260,"15,34%",2.531.248.330,"20,95%",-678.557.070
22/02/2023,37.559.942,"4,90%",50.046.227,"6,53%",-12.486.285,943.290.410,"7,41%",1.307.439.570,"10,27%",-364.149.160
21/02/2023,48.159.284,"7,35%",52.229.012,"7,98%",-4.069.728,1.134.276.690,"9,57%",1.206.426.600,"10,17%",-72.149.910
20/02/2023,51.356.569,"8,12%",46.704.242,"7,39%",4.652.327,1.125.322.600,"9,61%",1.213.606.900,"10,37%",-88.284.300
17/02/2023,41.395.447,"9,64%",41.501.646,"9,67%",-106.199,1.038.576.470,"13,50%",1.049.811.360,"13,65%",-11.234.890
16/02/2023,50.012.472,"12,18%",54.078.562,"13,17%",-4.066.090,1.176.494.330,"13,92%",1.286.038.460,"15,22%",-109.544.130
15/02/2023,71.032.973,"14,38%",90.919.939,"18,40%",-19.886.966,1.969.791.530,"19,97%",2.297.547.470,"23,29%",-327.755.940
14/02/2023,40.528.753,"11,97%",36.233.960,"10,70%",4.294.793,1.067.341.160,"15,88%",1.010.508.070,"15,03%",56.833.090
13/02/2023,33.622.302,"5,57%",39.809.393,"6,59%",-6.187.091,958.158.160,"9,16%",1.038.357.660,"9,93%",-80.199.500
10/02/2023,41.270.096,"10,17%",43.145.305,"10,63%",-1.875.209,1.197.762.440,"14,68%",1.170.650.440,"14,34%",27.112.000
09/02/2023,51.455.962,"13,42%",43.833.394,"11,43%",7.622.568,1.464.511.130,"15,88%",1.445.644.310,"15,68%",18.866.820
08/02/2023,62.850.801,"13,05%",43.937.324,"9,12%",18.913.477,1.624.145.320,"16,23%",1.240.329.670,"12,39%",383.815.650
07/02/2023,39.504.530,"6,64%",43.756.575,"7,35%",-4.252.045,1.051.515.440,"8,64%",1.016.574.980,"8,35%",34.940.460
06/02/2023,47.486.049,"11,42%",32.025.129,"7,70%",15.460.920,1.495.749.390,"15,57%",1.102.268.190,"11,47%",393.481.200
03/02/2023,51.921.061,"10,26%",32.023.428,"6,33%",19.897.633,1.505.367.520,"13,95%",974.768.870,"9,03%",530.598.650
02/02/2023,53.855.151,"9,09%",37.651.790,"6,35%",16.203.361,1.714.817.050,"15,51%",1.282.633.150,"11,60%",432.183.900
01/02/2023,61.265.867,"6,29%",53.173.494,"5,46%",8.092.373,1.578.378.350,"8,96%",1.486.964.290,"8,44%",91.414.060
31/01/2023,41.831.650,"6,40%",41.954.469,"6,42%",-122.819,1.249.798.910,"9,19%",1.370.032.650,"10,07%",-120.233.740
30/01/2023,71.294.472,"8,93%",32.709.172,"4,10%",38.585.300,1.731.559.850,"12,71%",985.747.590,"7,23%",745.812.260
27/01/2023,63.089.610,"11,04%",34.657.215,"6,06%",28.432.395,1.559.656.810,"14,05%",1.037.664.850,"9,35%",521.991.960
19/01/2023,70.430.797,"12,18%",34.940.414,"6,04%",35.490.383,1.827.281.580,"15,58%",1.029.236.820,"8,77%",798.044.760
18/01/2023,63.177.951,"11,41%",28.189.869,"5,09%",34.988.082,1.515.010.360,"14,80%",816.394.340,"7,97%",698.616.020
17/01/2023,48.986.582,"8,26%",14.427.698,"2,43%",34.558.884,1.271.127.934,"10,82%",475.196.490,"4,04%",795.931.444
16/01/2023,56.914.932,"13,94%",42.688.441,"10,46%",14.226.491,1.297.943.200,"13,85%",1.068.564.170,"11,40%",229.379.030
13/01/2023,42.886.084,"9,02%",160.890.532,"33,82%",-118.004.448,1.031.366.810,"8,32%",4.068.234.200,"32,82%",-3.036.867.390
12/01/2023,36.397.691,"9,46%",24.408.567,"6,35%",11.989.124,987.826.170,"11,34%",681.486.500,"7,82%",306.339.670
11/01/2023,33.373.247,"6,57%",18.902.833,"3,72%",14.470.414,838.300.430,"9,46%",593.518.840,"6,70%",244.781.590
10/01/2023,60.031.175,"14,18%",36.880.858,"8,71%",23.150.317,1.598.337.580,"16,46%",1.160.533.410,"11,95%",437.804.170
09/01/2023,47.145.047,"12,19%",23.848.946,"6,17%",23.296.101,1.101.934.070,"12,94%",564.149.090,"6,62%",537.784.980
06/01/2023,52.774.934,"8,59%",37.823.297,"6,15%",14.951.637,1.239.839.230,"10,38%",887.636.960,"7,43%",352.202.270
05/01/2023,58.769.712,"11,84%",27.005.814,"5,44%",31.763.898,1.427.146.620,"15,54%",750.228.790,"8,17%",676.917.830
04/01/2023,48.175.922,"8,50%",31.885.296,"5,62%",16.290.626,1.116.300.090,"10,60%",750.049.130,"7,12%",366.250.960
03/01/2023,45.182.977,"8,72%",29.845.038,"5,76%",15.337.939,1.036.620.080,"11,21%",795.428.270,"8,60%",241.191.810
30/12/2022,51.658.139,"15,00%",37.061.029,"10,76%",14.597.110,1.456.133.410,"19,62%",947.597.950,"12,77%",508.535.460
29/12/2022,46.293.169,"12,47%",46.775.336,"12,60%",-482.167,1.090.654.780,"13,24%",949.014.110,"11,52%",141.640.670
28/12/2022,47.999.345,"12,24%",39.981.934,"10,19%",8.017.411,1.277.811.210,"11,97%",946.439.910,"8,87%",331.371.300
27/12/2022,70.234.784,"13,85%",30.153.479,"5,95%",40.081.305,1.494.382.350,"15,62%",721.593.300,"7,54%",772.789.050
26/12/2022,49.961.107,"8,81%",35.484.904,"6,26%",14.476.203,1.355.625.290,"13,59%",910.343.680,"9,13%",445.281.610
23/12/2022,45.248.544,"10,68%",35.110.478,"8,28%",10.138.066,1.078.883.850,"11,86%",843.421.120,"9,27%",235.462.730
22/12/2022,44.490.934,"8,37%",133.428.948,"25,09%",-88.938.014,1.081.631.940,"8,39%",3.569.961.110,"27,68%",-2.488.329.170
21/12/2022,96.693.447,"13,74%",34.776.012,"4,94%",61.917.435,2.350.073.120,"16,30%",691.677.110,"4,80%",1.658.396.010
20/12/2022,110.623.413,"11,60%",37.800.544,"3,96%",72.822.869,2.641.086.400,"15,12%",778.487.510,"4,46%",1.862.598.890
19/12/2022,74.334.687,"8,72%",66.877.064,"7,85%",7.457.623,1.455.173.570,"9,07%",1.349.605.280,"8,41%",105.568.290
16/12/2022,111.244.864,"14,08%",91.696.521,"11,60%",19.548.343,2.586.733.520,"16,68%",2.311.381.000,"14,90%",275.352.520
15/12/2022,53.983.069,"8,11%",33.859.722,"5,09%",20.123.347,1.135.175.080,"9,20%",816.119.200,"6,62%",319.055.880
14/12/2022,59.537.294,"8,91%",60.785.778,"9,10%",-1.248.484,1.575.786.090,"11,48%",1.547.976.060,"11,27%",27.810.030
13/12/2022,98.165.666,"13,34%",55.122.948,"7,49%",43.042.718,2.455.243.680,"18,55%",1.557.951.540,"11,77%",897.292.140
12/12/2022,56.924.222,"7,04%",47.850.206,"5,92%",9.074.016,1.651.491.190,"10,07%",1.316.921.670,"8,03%",334.569.520
09/12/2022,59.875.143,"8,25%",41.352.447,"5,70%",18.522.696,1.502.639.730,"11,60%",1.052.657.910,"8,13%",449.981.820
08/12/2022,60.156.403,"6,89%",40.355.517,"4,62%",19.800.886,1.650.041.730,"10,68%",1.069.750.880,"6,92%",580.290.850
